File Name,Object,Material,Poisson Ratio,Young's Modulus,Force,Axis Fixed,,,Point of Application,,,,,
,,,,,100-200 N,x,y,z,x,y,z,,,
cyl_00053,cylinder,Clay,0.4,0.075,500,0,1,0,0,0.2,0.1,Done,,
cyl_00054,cylinder,Clay,0.4,0.075,1750,0,1,0,0,0.17,0.1,Done,,
cyl_00055,cylinder,Clay,0.4,0.075,1300,0,1,0,0,0.01,0.1,Done,,
cyl_00056,cylinder,Clay,0.4,0.075,800,0,1,0,0,0.09,0.1,Done,,
cyl_00057,cylinder,Clay,0.4,0.1,2000,0,1,0,0,-0.09,0.1,Done,,
cyl_00058,cylinder,Clay,0.4,0.1,200,0,1,0,0,-0.15,0.1,Done,,
cyl_00059,cylinder,Clay,0.4,0.1,3000,0,1,0,0,-0.2,0.1,Done,,
cyl_00060,cylinder,Clay,0.4,0.1,1600,0,1,0,0,0.11,0.1,Done,,
cyl_00061,cylinder,Clay,0.41,0.05,1000,0,1,0,0,0.13,0.1,Done,,
cyl_00062,cylinder,Clay,0.41,0.05,3000,0,1,0,0,-0.17,0.1,Done,,
cyl_00063,cylinder,Clay,0.41,0.05,3000,0,1,0,0,0.11,0.1,Done,,
cyl_00064,cylinder,Clay,0.41,0.05,500,0,1,0,0,0.15,0.1,Done,,
cyl_00065,cylinder,Clay,0.41,0.075,1300,0,1,0,0,0.13,0.1,Done,,
cyl_00066,cylinder,Clay,0.41,0.075,1400,0,1,0,0,-0.16,0.1,Done,,
cyl_00067,cylinder,Clay,0.41,0.075,1900,0,1,0,0,-0.12,0.1,Done,,
cyl_00068,cylinder,Clay,0.41,0.075,2100,0,1,0,0,0.12,0.1,Done,,
cyl_00069,cylinder,Clay,0.41,0.1,2250,0,1,0,0,0.19,0.1,Done,,
cyl_00070,cylinder,Clay,0.41,0.1,100,0,1,0,0,-0.18,0.1,Done,,
cyl_00071,cylinder,Clay,0.41,0.1,3000,0,1,0,0,0.1,0.1,Done,,
cyl_00072,cylinder,Clay,0.41,0.1,2700,0,1,0,0,-0.15,0.1,Done,,
cyl_00073,cylinder,Clay,0.42,0.05,,,,,,,,,,
cyl_00074,cylinder,Clay,0.42,0.05,,,,,,,,,,
cyl_00075,cylinder,Clay,0.42,0.05,,,,,,,,,,
cyl_00076,cylinder,Clay,0.42,0.05,,,,,,,,,,
cyl_00077,cylinder,Clay,0.42,0.075,,,,,,,,,,
cyl_00078,cylinder,Clay,0.42,0.075,,,,,,,,,,
cyl_00079,cylinder,Clay,0.42,0.075,,,,,,,,,,
cyl_00080,cylinder,Clay,0.42,0.075,,,,,,,,,,
cyl_00081,cylinder,Clay,0.42,0.1,,,,,,,,,,
cyl_00082,cylinder,Clay,0.42,0.1,,,,,,,,,,
cyl_00083,cylinder,Clay,0.42,0.1,,,,,,,,,,
cyl_00084,cylinder,Clay,0.42,0.1,,,,,,,,,,
cyl_00085,cylinder,Clay,0.43,0.05,,,,,,,,,,
